,Epoch,Decay,Learning Rate,Momentum,Feature Size,Rho,Score
41,174,0.7934280776058674,0.0002641637975792834,0.84959912275391,401,0.8311119698788634,0.09266666526144202
42,194,0.35640153592640145,0.0009588022128799988,0.9456289013519413,296,0.8930472576050104,0.013350183704451093
43,73,0.5114252242279141,0.0003066486824278017,0.8568228246131814,130,0.8578935004704462,0.26463505910126334
44,95,0.3031550694182583,0.000643811143763435,0.8699236052189796,306,0.9066092497940251,0.043574184015596984
45,163,0.3484276567319108,0.00010458915855810978,0.8590058095012785,180,0.8709166968393187,0.056395367480518585
46,79,0.7550983721406876,0.0006105852237195463,0.9265081936499914,358,0.8989961856140392,0.05910368903848842
47,91,0.4907950078351966,0.00098089530056612,0.806835417704445,203,0.8429025866473604,0.055324215769240445
48,122,0.3485322810577916,0.0002676747262104232,0.8053124904560649,354,0.9228988370694095,0.08980209678561697
49,110,0.25519011359797406,0.00014881197860522075,0.8287862627241946,404,0.9073650692131225,0.07706571406631708
50,177,0.6673390727667525,0.00031509678467303885,0.8748957470496417,388,0.9104622617910395,0.14360045120017564
51,85,0.07410846482514409,0.0003674611972565805,0.9340873709606304,333,0.8985027299091254,0.021828909623057065
52,69,0.08038006619393717,0.000956375026605915,0.8588940374433349,199,0.8632187162528991,0.029206503140703253
53,112,0.3774639448417803,0.00018087505396786326,0.8718936940132463,90,0.8938986256661893,0.19339937366200738
54,73,0.1934695535553476,0.0005677179694107064,0.8537011636074324,171,0.8431933731079864,0.07263975700487248
55,72,0.19544097239882463,0.000994379160293789,0.843189028130974,206,0.8335545433084528,0.04368620313940829
56,182,0.7878750670224955,0.0005657794742632813,0.8790734529309209,438,0.8595926210424285,0.016056343355876766
57,192,0.2695109181390822,2.8128609684208793e-06,0.9181312458301919,338,0.8482275291859616,0.0643080310261947
58,60,0.03531515977968427,0.0001440369184797196,0.8262073288311464,159,0.8960743456404505,0.03260138481456966
59,65,0.13853972841980797,0.0009894825204519034,0.8747605106436408,432,0.865253871831822,0.004495195667952933
60,79,0.7149961775733656,9.819819851561485e-05,0.8075142867427453,227,0.92118082020179,0.03803348880341917
61,74,0.4436773773010109,0.0007925270410841697,0.9093915339858089,317,0.9158649151641608,0.037282306652088634
62,176,0.6272109913556523,0.00042984500610565097,0.9056607957009963,166,0.9378875302488083,0.05606514221692996
63,162,0.12785906484107956,0.0008952398753637013,0.848566289110188,203,0.9204258953338931,0.05356137005838408
64,45,0.7834827897102613,0.00012178977864057538,0.9300369790399428,92,0.9102615698803311,0.10909602383417742
65,120,0.531465816258285,0.00020274332435798594,0.8482977137772468,485,0.9308734720802654,0.026606292273731205
66,83,0.28040305980802877,0.0007254295285162768,0.8256767579117553,440,0.8319041602428429,0.003699856798314674
67,42,0.7035204656230825,0.0009065243844225409,0.8647563503288804,406,0.8507045141578297,0.016576683945165205
68,69,0.11933014923361283,0.00044541892335494464,0.8603337030434139,1,0.844544411380435,0.14970652332518297
69,129,0.06646020688295683,0.0003113091802470531,0.9207529071801198,381,0.8367362016240952,0.0022273653777779004
70,61,0.3119020845671905,0.000917065463148878,0.9208634838165689,249,0.8212655235950145,0.027758944628798805
71,81,0.21073977370233338,0.0007260902831640664,0.8462301051999324,165,0.8209724599448263,0.07131159167290267
72,180,0.01087834954782707,0.0002801456316432669,0.8032106159306094,199,0.8527611948448612,0.035287148921738586
73,172,0.6921750531773291,0.0004900921136857541,0.8186653224724175,25,0.8624084297760038,0.12237292298935375
74,167,0.34997083896321635,0.0006970940038630759,0.9367991345946856,431,0.9237093877279862,0.0034564642537937024
75,100,0.2765657349776231,0.00038837078005229866,0.9129101474666136,109,0.9168241854563876,0.1327835972159155
76,64,0.42335309727767134,0.0008908863411842284,0.8027541586252016,204,0.9117023507620216,0.08168966060797701
77,129,0.37512298830686586,0.00014722233893908784,0.8546438878768912,126,0.8853820506822936,0.13559287322125027
78,49,0.031774656790821434,0.0008061320452361365,0.8400161431487183,78,0.9094278787123382,0.0072791822116860016
79,148,0.5599724857915507,0.00012534651620875183,0.8834561469754132,235,0.9087291497012523,0.054406942861118746
80,183,0.18377749424430717,0.00039459250475495103,0.9133113724026798,81,0.8975993900239629,0.14368700859608094
81,126,0.5416500609797343,0.0003658468145499002,0.8853850415414057,206,0.9413182258182937,0.10068467913837625
82,122,0.7811713785416772,0.00027763657275137876,0.8851221130048201,388,0.8813984677988937,0.07552642603257499
