,Epoch,Decay,Learning Rate,Momentum,Feature Size,Rho,Score
75,115,0.2985425592891292,0.0006771868870022185,0.9465954552468294,486,0.9248129715523195,0.026989686772622895
76,63,0.15170217432758903,0.0007328001833169223,0.8698036964380049,53,0.8261146797647232,0.0073224625713152885
77,193,0.7119974844088224,2.7982102264346477e-05,0.9460845033456379,124,0.8348160995367344,0.00961944700150433
78,195,0.28500569860237956,0.0005148557844525983,0.8868732022782685,47,0.9475765430080336,0.005516828308893694
79,102,0.26738957706678274,0.00016936945583972087,0.9331139749243406,37,0.8437751917711194,0.010517151502587955
80,50,0.6727250362123023,3.77839310465552e-05,0.8940956445153833,213,0.8804019336369504,0.02040978552667256
81,99,0.051467470260847394,0.0008434532605595314,0.935556510423177,166,0.8805739866558799,0.010564212053280706
82,161,0.0780798383906321,0.00017604820754480314,0.9199710614534711,370,0.8587779861338831,0.01362083717306276
83,129,0.11391775022554285,0.00020223335451441483,0.8077575704672111,437,0.8148194920012491,0.011154510939222002
84,46,0.07943057031466037,1.9898941234397343e-05,0.9213125723284766,370,0.9389263940359384,0.01276676425376259
85,160,0.49870232656059177,0.0009696001511465562,0.9270423027795257,421,0.9115906258831297,0.010882639835400535
86,115,0.3242331584602747,3.92424149691372e-05,0.8666452639278497,302,0.8523528946333664,0.012730571970512921
87,59,0.49845144541241715,0.00041678563549368174,0.9343254704582953,173,0.8025287113188235,0.010556328389961038
88,178,0.7184615482279978,0.00017384379258876274,0.9016686012353144,72,0.8965133974953553,0.007863410764326484
89,122,0.14565046562273337,0.0005101372600131822,0.8069957699952881,81,0.8286231755182287,0.018393334309099278
90,103,0.38651180885451925,0.0005788179196509171,0.9227468019472203,31,0.9462698924592567,0.0076898457050479825
91,157,0.2273037577976833,0.0008729790508325506,0.835372306944002,348,0.8297183321837699,0.008517696368825963
92,140,0.6512186267324471,0.0007340735408817586,0.8165267987927075,199,0.8951830473354045,0.00972781584547675
93,173,0.2103228256750426,9.810690299420847e-05,0.896923926930941,196,0.9153707329662243,0.008565435271182822
94,178,0.7446108079922866,7.283128721136156e-06,0.878315279632014,363,0.8024228545262161,0.009855706924780386
95,123,0.5316247380450823,0.0004577412753738089,0.9247845436222573,438,0.9301165467143202,0.012285730868187916
96,152,0.6680346737443268,0.0001617520654842543,0.862835978051239,277,0.8370243458718002,0.006818224848530735
97,58,0.2233619955478691,9.87603207401219e-05,0.8693193747941531,492,0.918569556868581,0.0165551933977339
98,87,0.04403301286292303,0.0009511467315591901,0.8406807230747131,59,0.837169864196877,0.007668287529329604
99,154,0.6307449937984435,0.0009502990602666737,0.8292908824011058,106,0.8144514819757714,0.019974600685726044
100,128,0.20891869925586617,0.0009118723701384389,0.8588790836316882,369,0.857005883451716,0.008913321932682922
101,110,0.6421034136977225,0.0008149813638364836,0.9437549481889921,100,0.8429032260957365,0.008281757137401353
102,105,0.7699839525067604,0.0005914052956359331,0.8568256191640794,250,0.9119549864092531,0.008740357256988204
103,93,0.7391656588487973,0.00024011324467494702,0.8444898550740249,84,0.9178237211556425,0.006783406062642869
104,52,0.3113858475529283,0.0006238747343599168,0.9200766526240316,142,0.8245356420193118,0.022242773466688744
