,Epoch,Decay,Learning Rate,Momentum,Feature Size,Score
45,98,0.953132485,0.000188962,0.818572629,426,0.020301917
46,109,0.97531228,0.000180449,0.859606844,274,0.003633022
47,75,0.908684376,0.000657087,0.91088321,377,0.003037183
48,133,0.947801608,0.000771128,0.854529722,263,0.006969907
49,112,0.97764227,0.000194659,0.931561867,384,0.065121397
50,195,0.910134452,0.000809063,0.800160926,30,0.019188239
51,64,0.983297854,4.98E-05,0.891342671,448,0.003358766
52,158,0.983198023,3.12E-05,0.837896941,82,0.017390033
53,74,0.908424595,6.62E-05,0.873056735,181,0.037251645
54,170,0.901816747,0.000969426,0.826438384,238,0.004137911
55,133,0.924476253,0.000922163,0.815510468,65,0.004474444
56,185,0.908905127,0.000776266,0.889698958,158,0.022575523
57,41,0.900042249,0.0009459,0.947237291,59,0.020129028
58,158,0.946871989,0.00036789,0.908477895,445,0.086409317
59,154,0.979216441,0.000261005,0.906500718,415,0.002587283
60,190,0.907855522,0.000410556,0.807104801,353,0.003029046
61,162,0.9194825,0.000586351,0.815675192,235,0.025071133
62,111,0.915641881,0.000918839,0.869408036,168,0.020074154
63,55,0.921648832,0.000288401,0.818266571,153,0.024359383
64,145,0.920117436,0.000307398,0.867558931,306,0.003231884
65,159,0.934005289,0.000779447,0.866660324,273,0.021047162
66,167,0.973997505,0.000615833,0.93719463,293,0.049169428
67,50,0.9842074,0.000516669,0.863178084,125,0.017916976
68,160,0.919799922,0.00016659,0.942981799,369,0.001789062
69,145,0.967943175,0.000777525,0.903237527,146,0.005731459
70,79,0.952100348,0.000104676,0.948504373,302,0.020785413
71,68,0.94005121,0.000901486,0.915634885,12,0.034395904
72,74,0.915419416,0.000685206,0.917862805,84,0.009290958
73,80,0.982326865,0.000704205,0.85023248,396,0.006628746
74,194,0.913369216,0.000181079,0.825178544,349,0.037182426
75,121,0.930345356,0.000250688,0.88276937,284,0.070874751
76,68,0.922620158,0.000556512,0.882251492,422,0.007170964
77,172,0.967302851,0.000118712,0.944454848,58,0.004570143
78,65,0.946407658,0.000140115,0.91192902,450,0.006521746
79,47,0.929893683,0.000396583,0.901002791,73,0.028114504
80,158,0.914175967,1.81E-05,0.802346577,495,0.139764199
81,114,0.936484125,0.000741076,0.929273017,385,0.003752971
